SITE_NAME,AVG_DAILY_CONSUMPTION
0432BB,10.663%
0432BR,3.469%
0432KO,6.612%
0433BB,6.101%
0433BR,7.281%
0433KO,24.843%
0434BB,7.605%
0434BR,47.082%
0434KO,10.112%
0435BB,4.992%
0435BR,12.440%
0435KO,0.440%
0436BB,7.597%
0436BR,25.608%
0436KO,8.946%
0437BB,6.448%
0437BR,5.771%
0437KO,10.847%
0438BB,3.061%
0438BR,1.646%
0438KO,9.299%
0439BB,2.493%
0439BR,11.567%
0439KO,12.539%
0440BB,6.801%
0440BR,16.618%
0440KO,8.080%
0441BB,21.611%
0441BR,5.836%
0441KO,6.944%
0442BB,3.535%
0442BR,3.662%
0442KO,9.790%
0443BB,12.784%
0443BR,8.968%
0443KO,13.277%
0444BB,0.658%
0444BR,22.491%
0444KO,4.141%
0445BB,3.873%
0445BR,2.497%
0445KO,13.725%
0446BB,8.888%
0446BR,6.252%
0446KO,6.413%
0447BB,7.418%
0447BR,0.449%
0447KO,7.237%
0448BB,3.123%
0448BR,3.866%
0448KO,7.165%
0449BB,5.840%
0449BR,3.931%
0449KO,8.409%
0450BB,20.709%
0450BR,7.311%
0450KO,5.434%
0451BB,6.219%
0451KO,9.897%
0452BB,5.708%
0452KO,8.630%
0453BB,6.840%
0453BR,9.349%
0453KO,31.187%
0454BB,4.327%
0454BR,7.749%
0454KO,10.783%
0455BB,1.816%
0455KO,1.908%
0456BB,24.627%
0456BR,6.633%
0456KO,20.584%
0457BB,12.059%
0457BR,3.178%
0457KO,6.388%
0458BB,22.130%
0458BR,0.086%
0458KO,12.794%
0459BB,2.423%
0459BR,13.229%
0459KO,9.044%
0460BB,2.103%
0460BR,0.282%
0460KO,4.721%
0461BB,2.863%
0461BR,3.039%
0461KO,6.036%
0462BB,1.050%
0462BR,10.766%
0462KO,2.354%
0463BB,15.084%
0463BR,24.835%
0463KO,6.604%
0464BB,12.472%
0464BR,43.123%
0464KO,3.078%
0465BB,3.013%
0465BR,16.435%
0465KO,3.223%
0466BB,18.763%
0466BR,29.754%
0466KO,17.108%
0467BB,9.251%
0467BR,9.562%
0467KO,7.506%
0468BR,26.144%
0468KO,8.581%
0469BB,4.898%
0469BR,17.441%
0470BB,4.195%
0470BR,3.821%
0471BB,10.926%
0471BR,37.233%
0472BB,nan%
0472BR,7.543%
0473BB,14.793%
0473BR,19.272%
0473KO,7.771%
0474BB,7.011%
0474BR,2.452%
0474KO,27.359%
0475BB,19.325%
0475BR,10.963%
0475KO,42.929%
0476BB,1.913%
0476BR,4.487%
0476KO,17.334%
0477BB,8.911%
0477BR,10.644%
0477KO,3.419%
0478BB,8.461%
0478BR,0.797%
0478KO,9.168%
0479BB,1.584%
0479BR,2.145%
0479KO,5.757%
0480BB,8.988%
0480BR,25.172%
0480KO,24.630%
0481BR,2.219%
0481KO,32.048%
0482BB,5.871%
0482BR,8.557%
0482KO,21.584%
0483BB,11.281%
0483BR,1.514%
0483KO,11.192%
0484BB,2.745%
0484BR,8.645%
0484KO,9.012%
0485BB,21.012%
0485BR,33.198%
0485KO,4.289%
0486BB,8.879%
0486BR,2.414%
0486KO,19.641%
0487BB,10.789%
0487BR,2.834%
0487KO,24.690%
0488BB,18.005%
0488BR,14.682%
0488KO,13.075%
0489BB,10.291%
0489BR,nan%
0489KO,22.045%
0490BB,9.971%
0490BR,6.328%
0491BB,0.668%
0491BR,3.945%
0492BB,0.440%
0492BR,23.304%
0492KO,12.391%
0493BB,1.198%
0493BR,2.188%
0493KO,12.777%
0494BB,4.203%
0494BR,0.292%
0494KO,17.080%
0495BB,3.799%
0495BR,12.321%
0495KO,14.717%
0496BB,16.466%
0496BR,2.595%
0497BB,31.081%
0497BR,8.492%
0497KO,0.319%
0498BB,8.923%
0498BR,10.909%
0499BB,12.628%
0499BR,8.374%
0500KO,7.968%
0509KO,0.087%
0510BB,17.739%
0519BB,2.028%
0524BR,6.180%
0524KO,5.363%
0529KO,35.213%
0530KO,4.408%
0531BB,15.584%
0531KO,27.733%
0539BB,0.000%
0546BR,81.924%
0547BB,0.000%
0558BB,16.886%
0561BB,16.521%
0561BR,24.321%
0563BB,0.000%
0564BR,13.749%
0567BR,9.270%
0573BB,10.050%
0576BB,5.185%
0576BR,0.452%
0579BB,9.312%
0579BR,38.009%
0580BB,9.688%
0585BR,2.452%
0589BB,3.763%
0590BB,44.601%
0592BB,14.794%
0593BB,119.112%
0596BB,1.923%
0598BB,2.092%
0600BR,14.975%
0600KO,18.690%
0601BR,17.138%
0602BR,5.645%
0602KO,12.375%
0603KO,8.852%
0605BB,18.505%
0605KO,15.429%
0606BB,8.010%
0606KO,54.370%
0608KO,1.544%
0609BR,0.057%
0610BR,0.427%
0611BR,6.351%
0611KO,12.341%
0612BB,8.421%
0613BB,23.900%
0613BR,86.751%
0614BR,23.863%
0614KO,11.585%
0615BB,6.563%
0615BR,7.156%
0615KO,2.032%
0616BB,12.776%
0616BR,39.184%
0617BR,87.123%
0618BR,6.165%
0619KO,24.494%
0620BR,24.851%
0620KO,85.950%
0621BB,141.421%
0621BR,22.202%
0621KO,6.577%
0623BR,27.044%
0624BR,5.377%
0625BR,14.299%
0625KO,3.804%
0626KO,15.105%
0627BR,4.257%
0627KO,5.967%
0628BR,9.843%
0630KO,nan%
0631BR,8.194%
0632BR,13.404%
0632KO,1.310%
0633BR,9.377%
0635BR,22.569%
0636BR,15.671%
0638BR,6.002%
0639BR,4.954%
0641BR,11.434%
0643BR,16.166%
0644BR,16.801%
0645BR,40.448%
0647BR,18.916%
0648BR,63.739%
0649BR,8.322%
0650BR,1.502%
0652BR,19.206%
0654BR,17.269%
0660BR,18.795%
0662BR,21.584%
0663BR,13.343%
0664BR,7.254%
0665BR,0.154%
0666BR,11.453%
0667BR,7.281%
0668BR,9.392%
0670BR,nan%
0671BR,20.891%
0672BR,56.647%
0675BR,2.108%
0679BR,6.513%
0682BR,21.228%
0684BR,21.588%
0688BR,12.497%
0690BR,6.659%
0693BR,57.796%
0694BR,12.027%
0697BR,12.880%
0698BR,15.175%
0699BR,63.518%
0701KO,10.344%
0703BR,81.409%
0705BR,29.851%
0710BR,1.143%
0711BR,21.036%
0712BR,53.700%
0714BR,46.608%
0715BR,8.457%
0717BR,17.225%
0719BR,5.988%
0811BB,9.403%
0998BR,3.507%
0999KO,8.098%
1001BB,3.743%
1001BR,6.572%
1001KO,1.431%
1002BB,60.668%
1002BR,9.337%
1002KO,12.646%
1003BB,21.001%
1003BR,8.849%
1004BB,4.265%
1004BR,2.584%
1004KO,6.298%
1005BB,21.028%
1005BR,5.012%
1005KO,39.434%
1006BB,4.025%
1006BR,6.126%
1007BB,0.184%
1007BR,7.681%
1007KO,22.096%
1008BB,35.138%
1008BR,16.517%
1008KO,24.837%
1009BB,8.361%
1009BR,3.479%
1009KO,13.321%
1010BB,11.855%
1010BR,4.636%
1011BB,7.310%
1011KO,30.620%
1012BB,0.771%
1012BR,8.352%
1012KO,7.068%
1013BR,8.273%
1014BB,20.371%
1014BR,2.733%
1014KO,10.886%
1015BB,9.299%
1015BR,8.447%
1016BB,3.712%
1016BR,2.748%
1016KO,6.914%
1017BB,3.883%
1017BR,10.143%
1017KO,8.690%
1018BB,11.210%
1018BR,1.036%
1018KO,10.615%
1019BB,10.946%
1019BR,7.381%
1019KO,6.212%
1020BB,4.954%
1020BR,7.725%
1020KO,2.998%
1021BB,17.189%
1021BR,1.678%
1021KO,3.372%
1022BB,0.771%
1022BR,0.486%
1022KO,17.966%
1023BB,4.819%
1023BR,6.454%
1024BB,18.847%
1024BR,17.707%
1024KO,11.233%
1025BB,1.623%
1025BR,1.016%
1025KO,5.072%
1026BB,4.964%
1026BR,16.053%
1027BR,51.607%
1027KO,14.455%
1028BB,6.566%
1028BR,24.758%
1028KO,4.336%
1029BB,9.292%
1029BR,2.323%
1029KO,39.291%
1030BB,0.793%
1030BR,6.755%
1030KO,43.488%
1031BB,35.839%
1031BR,55.399%
1032BB,2.959%
1032BR,7.759%
1033BB,3.580%
1033BR,1.337%
1033KO,13.651%
1034BB,15.835%
1034BR,15.938%
1036BB,24.250%
1036BR,39.145%
1036KO,30.036%
1037BB,6.343%
1037BR,6.317%
1037KO,27.318%
1038BB,7.593%
1038BR,9.602%
1038KO,8.007%
1039BB,1.348%
1039KO,42.466%
1040BB,7.471%
1040BR,5.024%
1040KO,8.464%
1041BB,2.860%
1041BR,3.098%
1042BB,2.041%
1042BR,7.264%
1042KO,5.141%
1043BB,4.153%
1043BR,4.676%
1043KO,9.644%
1044BB,18.449%
1044BR,1.571%
1045BB,8.864%
1045BR,4.938%
1045KO,4.362%
1046BB,15.211%
1046BR,3.173%
1047BB,6.719%
1047BR,1.655%
1047KO,3.292%
1048BB,7.047%
1048BR,6.134%
1048KO,4.828%
1049BB,0.044%
1049BR,3.916%
1049KO,9.228%
1050BB,1.191%
1050BR,32.220%
1050KO,8.218%
1051BR,28.035%
1051KO,12.225%
1052BB,7.370%
1052BR,19.805%
1052KO,0.312%
1053BB,5.496%
1053BR,3.106%
1053KO,12.352%
1054BB,14.775%
1054BR,6.711%
1054KO,8.065%
1055BB,43.519%
1055BR,3.352%
1055KO,15.732%
1056BR,13.240%
1056KO,5.116%
1057BR,21.543%
1057KO,38.660%
1058BR,9.191%
1058KO,13.882%
1059BB,3.624%
1059BR,9.453%
1059KO,12.290%
1060BR,1.125%
1060KO,6.311%
1061BB,2.438%
1061BR,5.634%
1062BB,6.823%
1062BR,3.593%
1063BB,53.031%
1063BR,34.476%
1063KO,6.089%
1064BB,65.770%
1064BR,11.590%
1064KO,18.826%
1065BB,7.848%
1065BR,2.643%
1065KO,9.339%
1066BB,8.857%
1066BR,14.564%
1066KO,11.986%
1067BB,3.772%
1067BR,9.021%
1067KO,35.475%
1068BB,9.536%
1068BR,17.298%
1068KO,7.253%
1069BB,5.238%
1069BR,15.362%
1069KO,7.824%
1070BB,0.689%
1070BR,0.649%
1070KO,7.348%
1071BB,27.684%
1071BR,8.764%
1071KO,19.841%
1072BB,1.673%
1072BR,2.312%
1072KO,3.878%
1073BB,0.480%
1073BR,0.612%
1073KO,26.682%
1074BB,2.020%
1074BR,9.308%
1075BR,21.430%
1075KO,6.301%
1076BB,13.201%
1076BR,2.837%
1077BB,10.195%
1077BR,12.327%
1078BB,2.286%
1078BR,18.549%
1079KO,5.455%
1080BB,4.527%
1080KO,5.257%
1081BB,127.881%
1081BR,29.853%
1081KO,13.301%
1082BB,33.416%
1082BR,34.301%
1082KO,9.855%
1083BB,0.364%
1083BR,2.634%
1083KO,10.770%
1084BR,7.675%
1084KO,7.546%
1085BB,18.933%
1085BR,11.597%
1085KO,13.080%
1086BR,6.872%
1086KO,10.765%
1087BB,18.934%
1087BR,6.760%
1087KO,24.471%
1088BR,10.489%
1088KO,56.033%
1089BB,9.138%
1089BR,72.449%
1089KO,7.626%
1090BB,12.056%
1090BR,4.632%
1090KO,3.348%
1091BB,0.076%
1091BR,8.124%
1091KO,3.802%
1092BB,5.110%
1092BR,6.176%
1092KO,4.616%
1093BB,1.309%
1093BR,5.764%
1093KO,33.040%
1094BB,21.681%
1094BR,5.679%
1094KO,0.750%
1095BB,21.973%
1095BR,10.391%
1096BB,12.971%
1096BR,15.633%
1096KO,9.369%
1097BB,0.554%
1097BR,8.654%
1097KO,6.956%
1098BB,5.709%
1098BR,8.599%
1098KO,17.946%
1099BB,4.474%
1099KO,17.677%
1100BB,nan%
1100BR,5.194%
1100KO,15.199%
1101BR,6.884%
1102BB,1.373%
1102BR,11.363%
1102KO,5.599%
1103BR,8.108%
1103KO,8.077%
1104BB,13.237%
1104BR,8.128%
1104KO,15.247%
1105BB,4.677%
1105BR,12.497%
1105KO,10.192%
1106BB,3.673%
1106BR,15.453%
1106KO,nan%
1107BB,69.761%
1107BR,26.813%
1107KO,19.187%
1108BB,18.791%
1108BR,8.419%
1109BB,21.477%
1109BR,8.805%
1109KO,97.405%
1110BB,nan%
1110BR,2.519%
1111BB,15.920%
1111BR,6.692%
1111KO,14.336%
1112KO,13.258%
1113BR,9.558%
1113KO,47.965%
1114BB,35.764%
1114BR,8.090%
1114KO,15.547%
1115BB,3.091%
1115BR,8.322%
1115KO,9.071%
1116BR,17.740%
1117BR,21.808%
1117KO,11.135%
1118BR,8.566%
1118KO,4.052%
1119BB,21.306%
1119BR,17.103%
1119KO,1.329%
1120BB,65.777%
1120KO,32.114%
1121BB,34.273%
1121BR,8.230%
1122BR,4.825%
1123BB,0.000%
1123BR,3.468%
1123KO,5.441%
1125BB,40.472%
1125BR,1.164%
1125KO,25.406%
1126BR,19.088%
1127BR,4.361%
1127KO,11.713%
1128BB,0.688%
1128BR,12.989%
1128KO,12.627%
1129BB,86.144%
1129BR,8.861%
1129KO,67.590%
1130BR,2.682%
1131BB,7.559%
1131BR,5.393%
1132BR,7.027%
1133BR,11.171%
1134BB,2.083%
1134BR,21.447%
1135BR,4.524%
1136BR,17.262%
1136KO,8.798%
1137BR,26.101%
1137KO,41.944%
1138BR,23.980%
1138KO,4.860%
1139BB,27.622%
1139BR,2.578%
1139KO,4.050%
1140BR,10.591%
1140KO,8.729%
1141BR,10.646%
1141KO,5.110%
1142BB,20.433%
1142BR,24.409%
1142KO,0.729%
1143BR,8.692%
1144BB,50.763%
1144BR,2.347%
1144KO,2.263%
1145BR,24.852%
1145KO,6.643%
1146BB,20.519%
1146BR,1.990%
1146KO,6.003%
1147BR,2.295%
1147KO,16.500%
1148BB,21.830%
1148BR,5.160%
1149BR,11.991%
1150BR,7.948%
1150KO,50.534%
1151BB,9.902%
1151BR,2.102%
1151KO,10.453%
1152BB,0.753%
1152BR,4.143%
1152KO,6.589%
1153BB,19.573%
1153BR,2.714%
1153KO,67.631%
1154BB,2.626%
1154BR,77.451%
1154KO,7.185%
1156BB,17.234%
1156BR,3.843%
1157BR,3.007%
1158BR,4.800%
1159BR,12.723%
1159KO,3.593%
1160BR,24.945%
1161BR,7.313%
1161KO,17.407%
1162BR,9.019%
1162KO,14.051%
1163BR,8.157%
1163KO,3.532%
1164BR,9.159%
1164KO,14.123%
1165BR,7.101%
1166BR,10.155%
1166KO,8.924%
1167BR,11.153%
1168BR,6.908%
1169BR,3.012%
1169KO,64.033%
1170BB,nan%
1170BR,2.027%
1171BR,9.213%
1172BR,7.616%
1173BR,14.749%
1175BR,0.487%
1176BR,8.997%
1177BR,6.530%
1177KO,39.697%
1178BR,15.566%
1178KO,83.416%
1179BB,nan%
1179BR,8.064%
1180BR,8.705%
1181BR,7.666%
1182BR,5.728%
1183BR,6.208%
1184BR,3.527%
1185BR,9.679%
1186BR,2.093%
1186KO,24.724%
1187BR,8.436%
1188BR,5.289%
1189BR,19.427%
1190BR,7.072%
1191BR,16.010%
1192BR,2.586%
1193BR,0.558%
1194BR,8.739%
1195BR,10.300%
1197BR,55.177%
1199BR,5.383%
1200BR,3.097%
1202BR,16.764%
1203BR,46.172%
1203KO,nan%
1204BR,28.816%
1205BR,20.221%
1206BR,7.571%
1207BR,14.453%
1208BR,18.018%
1209BR,2.336%
1210BR,4.511%
1211BR,5.413%
1212BR,4.955%
1213BR,15.257%
1214BR,11.608%
1215BR,12.196%
1216BR,14.306%
1217BR,6.576%
1218BR,15.338%
1219BR,17.975%
1220BR,1.308%
1221BR,8.254%
1222BR,0.201%
1223BR,37.833%
1224BR,33.737%
1225BR,29.558%
1226BR,18.033%
1227BR,7.059%
1228BR,8.648%
1230BR,9.516%
1232BR,17.138%
1233BR,11.966%
1237BR,9.687%
1239BR,6.580%
1240BR,8.192%
1242BR,6.123%
1243BR,7.947%
1244BR,6.003%
1245BR,12.082%
1246BR,1.379%
1247BR,4.787%
1248BR,7.647%
1249BR,10.827%
1250BR,11.550%
1251BR,6.179%
1252BR,6.894%
1253BR,9.476%
1254BR,11.978%
1255BR,15.089%
1256BR,14.000%
1258BR,13.444%
1259BR,8.228%
1260BR,24.942%
1261BR,18.195%
1262BR,7.827%
1263BR,2.735%
1264BR,33.814%
1266BR,44.186%
1267BR,5.171%
1269BR,13.027%
1270BR,28.262%
1271BR,3.179%
1272BR,10.085%
1273BR,1.073%
1274BR,6.665%
1275BR,8.126%
1276BR,6.766%
1277BR,6.498%
1279BR,21.095%
1280BR,4.710%
1281BR,21.300%
1282BR,11.017%
1283BR,7.910%
1284BR,3.169%
1285BR,6.158%
1287BR,9.532%
1288BR,6.475%
1289BR,13.894%
1290BR,8.315%
1291BR,20.376%
1292BR,2.007%
1293BR,3.814%
1294BR,15.893%
1296BR,11.619%
1297BR,3.572%
1298BR,15.660%
1300BR,1.416%
1301BR,9.283%
1302BR,0.200%
1304BR,9.497%
1305BR,27.992%
1307BR,2.413%
1309BR,8.127%
1310BR,1.699%
1311BR,7.227%
1312BR,3.357%
1313BR,2.000%
1314BR,57.081%
1315BR,26.766%
1316BR,20.345%
1317BR,5.997%
1319BR,8.559%
1321BR,4.721%
1322BR,nan%
1323BR,5.268%
1324BR,0.370%
1325BR,10.902%
1326BR,nan%
1327BR,19.398%
1328BR,8.998%
1329BR,18.501%
1330BR,3.640%
1331BR,1.377%
1333BR,2.372%
1335BR,0.340%
1336BR,7.812%
1337BR,7.678%
1340BR,24.557%
1341BR,nan%
1343BR,5.665%
1344BR,10.775%
1345BR,33.108%
1346BR,9.724%
1347BR,nan%
1348BR,12.859%
1349BR,1.801%
1350BR,4.407%
1351BR,36.713%
1353BR,6.679%
1355BR,1.149%
1356BR,21.440%
1358BR,11.467%
1359BR,nan%
1363BR,21.729%
1366BR,3.505%
1367BR,nan%
1368BR,3.421%
1370BR,16.399%
1371BR,8.914%
1372BR,77.467%
1373BR,0.790%
1376BR,35.862%
1377BR,1.316%
1378BR,87.190%
1380BR,5.855%
1381BR,46.149%
1383BR,1.441%
1384BR,10.884%
1385BR,2.213%
1386BR,11.847%
1387BR,7.048%
1388BR,91.821%
1389BR,28.497%
1390BR,4.286%
1391BR,1.233%
1392BR,10.767%
1393BR,15.193%
1394BR,112.480%
1395BR,2.320%
1396BR,22.572%
1398BR,nan%
1399BR,6.601%
1400BR,22.654%
1401BR,2.184%
1402BR,4.974%
1403BR,8.162%
1405BR,3.665%
1406BR,5.420%
1409BR,nan%
1410BR,23.744%
1411BR,4.686%
1413BR,14.733%
1414BR,nan%
1415BR,6.534%
1416BR,24.249%
1419BR,0.960%
1421BR,13.706%
1429BR,16.253%
1430BR,9.823%
1432BR,24.491%
1442BR,nan%
1443BR,12.430%
1448BR,8.570%
1449BR,0.000%
1451BR,52.566%
1457BR,17.519%
1458BR,96.642%
1481BR,nan%
1486BR,nan%
1600BR,25.621%
1601BR,11.062%
1602BR,20.301%
1603BR,5.076%
1606BR,18.224%
1607BR,86.460%
1608BR,6.514%
1609BR,30.002%
1610BR,47.359%
1612BR,57.534%
1616BR,4.784%
1617BR,10.306%
1623BR,8.361%
1625BR,40.095%
1632BR,7.163%
1634BR,40.268%
1900BB,0.850%
1902BB,30.472%
1904BB,9.698%
1906BB,15.450%
1907BB,13.385%
1908BB,3.980%
1909BB,62.139%
1910BB,17.881%
1911BB,55.933%
1913BB,9.268%
1914BB,8.599%
1915BB,29.281%
1916BB,10.468%
1917BB,22.899%
1918BB,6.405%
1919BB,2.496%
1920BB,7.438%
1921BB,22.194%
1922BB,10.651%
1923BB,7.266%
1924BB,36.718%
1925BB,13.643%
1926BB,4.731%
1927BB,7.289%
1928BB,13.399%
1929BB,8.915%
1930BB,6.491%
1931BB,17.681%
1933BB,0.166%
1934BB,0.312%
1935BB,2.922%
1936BB,0.000%
1938BB,0.211%
1939BB,3.856%
1940BB,32.385%
1941BB,19.545%
1944BB,0.792%
1945BB,65.733%
1946BB,12.678%
1947BB,47.284%
1948BB,10.981%
1950BB,10.520%
1950BR,2.981%
1951BB,4.289%
1952BB,5.962%
1952BR,nan%
1953BB,6.431%
1953BR,2.719%
1954BB,8.235%
1954BR,10.266%
1955BB,33.228%
1955BR,12.097%
1956BB,0.316%
1956BR,46.905%
1957BB,3.539%
1957BR,1.656%
1958BB,0.425%
1958BR,19.332%
1959BB,48.940%
1959BR,7.652%
1960BB,34.028%
1960BR,2.225%
1961BR,11.942%
1962BB,4.992%
1962BR,22.120%
1963BB,6.351%
1963BR,11.750%
1964BB,20.001%
1964BR,8.452%
1965BB,18.384%
1965BR,11.335%
1966BB,5.161%
1966BR,6.654%
1967BB,12.691%
1967KO,11.302%
1968BB,6.388%
1968BR,9.877%
1968KO,13.768%
1969BB,1.420%
1969BR,0.320%
1970BB,10.449%
1970BR,9.891%
1971BB,46.365%
1971KO,16.583%
1972BB,37.795%
1972BR,8.109%
1972KO,11.907%
1973BB,16.927%
1973BR,12.325%
1973KO,6.471%
1974BB,2.667%
1974BR,13.498%
1974KO,10.484%
1975BB,35.221%
1975BR,5.177%
1975KO,44.754%
1976BB,39.170%
1976BR,8.811%
1976KO,46.792%
1977BB,33.435%
1977BR,7.470%
1977KO,55.390%
1978BB,5.991%
1978BR,5.046%
1978KO,53.398%
1979BB,32.073%
1979BR,5.753%
1979KO,10.090%
1980BB,9.360%
1980BR,11.742%
1980KO,12.562%
1981BB,6.131%
1981BR,4.851%
1981KO,7.354%
1982BB,28.582%
1982BR,12.478%
1982KO,11.393%
1983BB,23.352%
1983BR,10.193%
1983KO,4.012%
1984BB,68.131%
1984BR,5.663%
1984KO,9.549%
1985BB,7.794%
1985BR,7.220%
1985KO,13.359%
1986BB,6.732%
1986BR,6.843%
1986KO,28.512%
1987BB,10.613%
1987BR,35.052%
1987KO,11.664%
1988BB,10.084%
1988KO,10.819%
1989BB,9.370%
1989BR,9.881%
1990BB,6.327%
1990BR,8.030%
1990KO,8.700%
1991BB,7.894%
1991BR,17.638%
1991KO,9.977%
1992BB,6.620%
1992BR,7.802%
1992KO,10.134%
1993BB,9.322%
1993BR,0.677%
1993KO,13.404%
1994BB,6.797%
1994BR,25.470%
1995BR,6.169%
1995KO,10.338%
1996BB,42.148%
1996BR,7.141%
1996KO,13.153%
1997BB,8.561%
1997BR,6.037%
1997KO,11.473%
1998BB,14.602%
1998BR,58.617%
1998KO,12.816%
1999BB,6.134%
1999BR,19.715%
1999KO,9.697%
2001BR,1.711%
2002KO,16.167%
2004KO,17.096%
2006BR,17.734%
2012BB,6.458%
2014BB,29.684%
2017BB,63.532%
2019BB,27.297%
2023BB,1.131%
2025KO,21.497%
2028BB,44.406%
2032BB,78.946%
2037BB,58.832%
2037KO,8.640%
2039BB,6.235%
2040KO,0.204%
2042KO,27.248%
2046BB,22.851%
2048KO,30.681%
2049KO,1.084%
2050KO,4.396%
2054BR,0.996%
2055KO,5.715%
2061BR,5.572%
2062BR,35.438%
2064BB,16.679%
2074BR,1.845%
2075BB,77.079%
2075BR,55.072%
2076BB,4.238%
2076BR,46.155%
2077BR,10.907%
2078BB,42.480%
2078BR,2.236%
2079BR,48.181%
2080BR,14.554%
2082BR,20.328%
2083BR,9.961%
2084BB,11.789%
2086BR,62.550%
2099BB,6.932%
2104BB,5.883%
2106BB,12.630%
2107BB,0.623%
2108BB,1.086%
2111BB,0.585%
2112BB,8.674%
2113BB,32.460%
2116BB,11.237%
2120BB,4.327%
2121BB,25.773%
2123BB,6.980%
4008BR,20.550%
4012KO,nan%
4060BR,103.557%
4351BR,7.095%
4361BR,14.541%
4362BR,10.802%
4365BR,17.243%
4366BR,6.977%
4367BR,21.125%
4368BR,21.816%
4372BB,11.749%
4373BB,4.877%
4376BB,44.326%
4378BB,11.256%
4380BB,13.680%
4391KO,8.113%
4392KO,9.623%
4396KO,16.098%
5006KO,54.420%
5240BB,1.030%
5417BR,18.072%
5425BR,3.478%
7224KO,12.208%
7541BR,17.091%
9503BB,47.273%
9510BB,7.255%
9511BB,nan%
9512BB,3.391%
9513BB,0.377%
9515BB,117.872%
9516BB,1.813%
9517BB,0.056%
9518BB,0.312%
